ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
40,A regular polygon is also called a ________ polygon.,Equilateral,Convex,Irregular,Equiangular,Equiangular
41,How many diagonals can be drawn from one vertex of an octagon?,8,10,6,14,6
42,What is the sum of the interior angles of a convex nonagon?,1260 degrees,1080 degrees,1440 degrees,1620 degrees,1260 degrees
43,A polygon with equal sides and equal angles is termed a ________.,Regular polygon,Irregular polygon,Convex polygon,Concave polygon,Regular polygon
44,"If all the line segments connecting any two points within the polygon lie entirely inside the shape, it is called a ________ polygon.",Concave,Regular,Convex,Irregular,Convex
45,A polygon with seven angles and seven sides is known as a ________.,Hexagon,Heptagon,Octagon,Nonagon,Heptagon
46,What is a polygon?,"A two-dimensional shape with straight sides that is closed, meaning that the ends of the sides meet to form a complete shape.",A two-dimensional shape with curved sides.,A three-dimensional shape.,A circle.,"A two-dimensional shape with straight sides that is closed, meaning that the ends of the sides meet to form a complete shape."
47,How many sides does a pentagon have?,Four,Five,Six,Seven,Five
48,What is a polygon with equal sides and equal angles called?,Regular polygon,Irregular polygon,Convex polygon,Concave polygon,Regular polygon
49,How many diagonals does a hexagon have?,Six,Nine,Ten,Twelve,Nine
50,What is the sum of the interior angles of a convex nonagon?,1260 degrees,1080 degrees,1440 degrees,1620 degrees,1260 degrees
51,What is a polygon with seven angles and seven sides called?,Hexagon,Heptagon,Octagon,Nonagon,Heptagon
52,What is the name of a polygon with twelve sides?,Dodecagon,Hexagon,Decagon,Octagon,Dodecagon
53,"If a polygon has at least one interior angle greater than 180 degrees, it is classified as:",Concave,Convex,Regular,Isosceles,Concave
54,What type of triangle has all sides of equal length?,Scalene triangle,Isosceles triangle,Equilateral triangle,Right-angled triangle,Equilateral triangle
55,The sum of the exterior angles of any polygon is always equal to:,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees
56,Which of the following shapes has six equal sides and six equal angles?,Triangle,Square,Pentagon,Hexagon,Hexagon
57,What is the name of a shape with seven sides?,Hexagon,Octagon,Heptagon,Nonagon,Heptagon
58,Which shape has all angles less than 90 degrees?,Rectangle,Rhombus,Trapezoid,Circle,Circle
59,What type of shape does not have straight sides?,Triangle,Circle,Square,Rectangle,Circle
60,Which shape has four equal sides but unequal angles?,Parallelogram,Rhombus,Trapezoid,Rectangle,Rhombus
61,Which shape has two parallel circular bases?,Sphere,Cylinder,Cone,Cuboid,Cylinder
62,What is the name of a shape with five sides?,Hexagon,Octagon,Pentagon,Heptagon,Pentagon
63,Which shape has one pair of parallel sides?,Square,Circle,Triangle,Trapezoid,Trapezoid
64,What shape has a circular base and one vertex not on the same plane as the base?,Cone,Sphere,Pyramid,Cylinder,Cone
65,Which shape has four equal sides and opposite angles equal but not 90 degrees?,Square,Rhombus,Parallelogram,Rectangle,Rhombus
66,Which shape is formed by six identical square faces?,Sphere,Cylinder,Cube,Cone,Cube
67,What type of triangle has all sides of equal length?,Isosceles triangle,Scalene triangle,Right-angled triangle,Equilateral triangle,Equilateral triangle
68,What shape has opposite sides parallel and equal in length?,Parallelogram,Rhombus,Trapezoid,Rectangle,Parallelogram
69,What is the name of a polyhedron with eight faces?,Tetrahedron,Octahedron,Dodecahedron,Icosahedron,Octahedron
70,A regular polygon has five sides. What is the name of this polygon?,Hexagon,Heptagon,Pentagon,Nonagon,Pentagon
71,Which shape is characterized by being perfectly round in three dimensions?,Cylinder,Sphere,Cone,Prism,Sphere
72,What type of triangle has all angles measuring 60 degrees?,Isosceles triangle,Scalene triangle,Right-angled triangle,Equilateral triangle,Equilateral triangle
73,"Which shape has all sides equal in length and opposite angles equal, but not necessarily 90 degrees?",Rhombus,Parallelogram,Trapezoid,Rectangle,Rhombus
74,What is the name of a polyhedron with twelve faces?,Tetrahedron,Octahedron,Dodecahedron,Icosahedron,Dodecahedron
75,What is the name of a triangle where all three sides have different lengths?,Isosceles triangle,Equilateral triangle,Scalene triangle,Right triangle,Scalene triangle
76,Which shape has all sides equal in length and all interior angles measuring 90 degrees?,Rhombus,Rectangle,Parallelogram,Square,Square
77,What is the name of a three-dimensional figure with a circular base and a pointed top?,Cylinder,Cone,Sphere,Prism,Cone
78,Which shape has eight edges and six vertices?,Cube,Cylinder,Cone,Sphere,Cube
79,What is the name of a shape formed by joining two congruent circles at their bases?,Cone,Cylinder,Sphere,Torus,Torus
80,What type of quadrilateral is characterized by having opposite sides that are equal in length and all interior angles measuring 90 degrees?,Square,Rhombus,Trapezoid,Parallelogram,Square
81,What is the name of a three-dimensional shape with two parallel and congruent bases connected by rectangular faces?,Pyramid,Prism,Cylinder,Sphere,Prism
82,What is the name of a polygon with nine sides?,Hexagon,Octagon,Decagon,Nonagon,Nonagon
83,Which shape has two congruent circular bases and equal distances between them?,Cone,Sphere,Cylinder,Cuboid,Cylinder
84,What is a six-sided polygon called?,Pentagon,Hexagon,Heptagon,Octagon,Hexagon
85,Which of the following best describes a cuboid?,"A three-dimensional shape with six faces, all of which are rectangles.",A shape with eight equal edges and six vertices.,A three-dimensional figure with a circular base and a curved surface.,A shape with three sides and three vertices.,"A three-dimensional shape with six faces, all of which are rectangles."
86,Which shape is formed by six identical square faces?,Sphere,Cylinder,Cube,Cone,Cube
87,What is a three-sided polygon called?,Quadrilateral,Triangle,Pentagon,Hexagon,Triangle
88,What is the name of a shape with twelve faces?,Tetrahedron,Octahedron,Icosahedron,Dodecahedron,Dodecahedron
89,Which shape is characterized by being perfectly round in three dimensions?,Cylinder,Cone,Sphere,Prism,Sphere
90,What shape has opposite sides parallel and equal in length?,Parallelogram,Rhombus,Trapezoid,Rectangle,Parallelogram
91,What term refers to the perimeter of a circle?,Radius,Circumference,Diameter,Area,Circumference
92,What is the longest chord that can be drawn in a circle called?,Arc,Radius,Diameter,Circumference,Diameter
93,What is the measure of the total degrees in the circumference of a circle?,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees
94,What is the ratio of the circumference of a circle to its diameter?,Pi (π),2,3,4,Pi (π)
95,What is the region bounded by two radii and an arc in a circle called?,Chord,Sector,Segment,Diameter,Sector
96,What is the point from which all points on a circle are equidistant?,Radius,Circumference,Center,Diameter,Center
97,What is the measure of the total degrees in the central angle of a full circle?,90 degrees,360 degrees,180 degrees,45 degrees,360 degrees
98,What is the measure of a semicircle in degrees?,90 degrees,180 degrees,270 degrees,360 degrees,180 degrees
99,What term refers to the space enclosed by a circle?,Area,Perimeter,Diameter,Radius,Area
100,What is a part of the circumference of a circle called?,Chord,Sector,Arc,Segment,Arc
101,What is a chord that passes through the center of a circle called?,Arc,Diameter,Sector,Radius,Diameter
102,What is the measure of an angle subtended by a diameter at the circumference of a circle?,180 degrees,90 degrees,360 degrees,45 degrees,180 degrees
103,What is the distance from the center of a circle to any point on its circumference called?,Diameter,Circumference,Radius,Arc,Radius
104,"What is an angle formed by two chords in a circle, with the vertex on the circle?",Central angle,Inscribed angle,Tangent,Circumference angle,Inscribed angle
105,What is the total number of edges in a cuboid?,6,8,10,12,12
106,A circular garden has a radius of 10 meters. What is the approximate circumference of this garden?,20π meters,10π meters,30π meters,40π meters,20π meters
107,A bicycle wheel has a diameter of 26 inches. What is the approximate distance the bicycle travels after 50 revolutions of the wheel?,1300 inches,650π inches,1300π inches,3250 inches,1300π inches
108,"A circular pond has a diameter of 12 meters. If someone walks around the pond, covering a distance of 75 meters, how many complete rounds do they make around the pond?",2 rounds,3 rounds,4 rounds,5 rounds,2 rounds
109,"A circular track has a circumference of 440 meters. If a runner completes four laps around the track, what distance did the runner cover in total?",110 meters,440 meters,1760 meters,880 meters,1760 meters
110,"A circular pizza has a diameter of 18 inches. If it's cut into 12 equal slices, what is the length of the crust (outer edge) of a single slice?",9 inches,6 inches,3π inches,1.5π inches,1.5π inches
111,"If the radius of a circular garden is 7 meters, what is the approximate area of the garden?",35π square meters,14π square meters,49π square meters,21π square meters,49π square meters
112,"If the radius of a circular swimming pool is 5 centimeters, what is the approximate area of the pool?",25π square centimeters,75π square centimeters,100 square centimeters,50π square centimeters,25π square centimeters
113,"If a circular path has a radius of 2 meters, what is the approximate length of the path?",4 meters,8 meters,12.56 meters,16 meters,12.56 meters
114,"If a circular rug has a diameter of 24 inches, what is the approximate area of the rug?",144π square inches,72 square inches,48π square inches,576 square inches,144π square inches
115,A circular park has a diameter of 40 meters. What is the approximate distance a person would walk if they jogged around the park once?,120 meters,125.6 meters,125.6 kilometers,140 meters,125.6 meters
116,"If the diameter of a circular garden is 6 meters, what is the approximate area of the garden?",9π square meters,18π square meters,36 square meters,12π square meters,9π square meters
117,"If the radius of a circular table is 3 centimeters, what is the approximate area of the table's surface?",6 square centimeters,9π square centimeters,18 square centimeters,36π square centimeters,9π square centimeters
118,What is the approximate area of a circular field with a radius of 10 meters?,100 square meters,200 square meters,314 square meters,628 square meters,314 square meters
119,"If the diameter of a circular pool is 8 feet, what is the approximate area of the pool?",16π square feet,40π square feet,64 square feet,32π square feet,16π square feet
120,"If the radius of a circular plate is 7 inches, what is the approximate area of the plate?",28π square inches,14π square inches,49π square inches,98 square inches,49π square inches
121,What defines an ellipse in terms of its foci and major and minor axes?,The sum of distances from any point on the ellipse to its foci is constant.,The product of distances from any point on the ellipse to its foci is constant.,The distance between the foci is equal to the length of the major axis.,The distance between the foci is equal to the length of the minor axis.,The sum of distances from any point on the ellipse to its foci is constant.
122,What is the ratio between the major and minor axes in a standard ellipse equation?,1:1,Greater than 1,Equal to 2,Less than 1,Greater than 1
123,What is the geometric shape of the cross-section produced by cutting an oblique cylinder at an angle to its base?,Circle,Ellipse,Parabola,Hyperbola,Ellipse
124,"What are the fixed points inside an ellipse, such that the sum of the distances from any point on the ellipse to these points is constant?",Vertices,Axis,Foci,Center,Foci
125,"In an ellipse, which axis is longer?",Semi-major axis,Major axis,Semi-minor axis,Minor axis,Major axis
126,Which theorem describes the relationship between the sides of a right-angled triangle?,The Law of Sines,Pythagorean theorem,The Fundamental Theorem of Calculus,The Binomial Theorem,Pythagorean theorem
127,What theorem states that every integer greater than 1 is either a prime number itself or can be represented as a unique product of prime numbers?,The Commutative Property,The Associative Property,The Fundamental Theorem of Arithmetic,The Distributive Property,The Fundamental Theorem of Arithmetic
128,Which theorem states that the sum of the lengths of any two sides of a triangle is greater than the length of the third side?,The Triangle Inequality Theorem,The Law of Cosines,The Law of Sines,The Pythagorean theorem,The Triangle Inequality Theorem
129,Which theorem relates the ratios of the sides to the opposite angles in any triangle?,The Law of Cosines,The Pythagorean theorem,The Triangle Inequality Theorem,The Law of Sines,The Law of Sines
130,Which theorem expresses the expansion of powers of a binomial?,The Fundamental Theorem of Arithmetic,The Fundamental Theorem of Algebra,The Pythagorean theorem,The Binomial Theorem,The Binomial Theorem
131,Which property states that changing the grouping of numbers in an operation doesn't change the result?,The Commutative Property,The Associative Property,The Distributive Property,The Identity Property,The Associative Property
132,"In a right triangle, which trigonometric ratio represents the ratio of the opposite side to the adjacent side?",Sine,Tangent,Cosine,Secant,Tangent
133,"In a right triangle, which trigonometric ratio represents the ratio of the adjacent side to the hypotenuse?",Tangent,Sine,Cosine,Cosecant,Cosine
134,What is the trigonometric ratio that represents the ratio of the opposite side to the hypotenuse in a right triangle?,Sine,Cosine,Tangent,Cotangent,Sine
135,What acronym represents the three basic trigonometric ratios in a right triangle?,HAST,TOA-SHA-COH,OH-CAH-SOT,SOH-CAH-TOA,SOH-CAH-TOA
136,"In a right triangle, what is the measure of the right angle in degrees?",45 degrees,90 degrees,60 degrees,180 degrees,90 degrees
137,Which theorem provides a relationship between the sides and angles of a non-right triangle?,The Law of Sines,The Pythagorean theorem,The Law of Cosines,The Triangle Inequality Theorem,The Law of Cosines
138,What property describes the multiplication of a number over a sum or difference within parentheses?,The Distributive Property,The Associative Property,The Commutative Property,The Identity Property,The Distributive Property
139,What theorem states that every non-constant polynomial equation has at least one complex root?,The Fundamental Theorem of Arithmetic,The Fundamental Theorem of Algebra,The Pythagorean theorem,The Binomial Theorem,The Fundamental Theorem of Algebra
140,What property states that the order of elements in an operation doesn't affect the result?,The Commutative Property,The Associative Property,The Distributive Property,The Identity Property,The Commutative Property
141,Which property states that any number added to zero remains unchanged?,The Commutative Property,The Associative Property,The Distributive Property,The Identity Property,The Identity Property
142,Which theorem relates the ratios of the lengths of the sides to the sines of their opposite angles in any triangle?,The Law of Sines,The Law of Cosines,The Pythagorean theorem,The Triangle Inequality Theorem,The Law of Sines
143,Which theorem connects the concepts of differentiation and integration?,The Mean Value Theorem,The Fundamental Theorem of Calculus,The Intermediate Value Theorem,The Limit Theorem,The Fundamental Theorem of Calculus
144,Which theorem can be used to find the length of a side of a triangle when the lengths of the other two sides and the included angle are known?,The Pythagorean theorem,The Law of Sines,The Law of Cosines,The Triangle Inequality Theorem,The Law of Cosines
145,What theorem describes the relationship between the sides of a right-angled triangle?,The Pythagorean theorem,The Law of Sines,The Law of Cosines,The Triangle Inequality Theorem,The Pythagorean theorem
146,What is the reciprocal of the cosine function in trigonometry?,Cosecant,Cotangent,Sine,Secant,Secant
147,What is the correct expression for the cosine of an angle θ in a right triangle?,Adjacent side / Hypotenuse,Opposite side / Hypotenuse,Opposite side / Adjacent side,Hypotenuse / Adjacent side,Adjacent side / Hypotenuse
148,What is the reciprocal of the tangent function in trigonometry?,Sine,Cosine,Cotangent,Secant,Cotangent
149,What is the reciprocal of the sine function in trigonometry?,Cosecant,Cotangent,Sine,Secant,Cosecant
150,What is the correct expression for the tangent of an angle θ in a right triangle?,Adjacent side / Hypotenuse,Opposite side / Hypotenuse,Opposite side / Adjacent side,Hypotenuse / Adjacent side,Opposite side / Adjacent side
151,What term describes the point that divides a line segment into two equal parts?,Slope,Intersect,Midpoint,Gradient,Midpoint
152,What formula allows computation of the distance between two points in a plane?,Slope formula,Distance formula,Midpoint formula,Intercept formula,Distance formula
153,What statement defines the relationship between the slopes of parallel lines?,Parallel lines have equal slopes.,Parallel lines have perpendicular slopes.,Parallel lines have negative slopes.,Parallel lines have infinite slopes.,Parallel lines have equal slopes.
154,Which equation represents a circle in the coordinate plane?,Linear equation,Quadratic equation,Polynomial equation,Equation of a circle,Equation of a circle
155,What term refers to the point where a graph intersects the x-axis?,Slope,y-intercept,x-intercept,Origin,x-intercept
156,"Which theorem relates the number of vertices (V), edges (E), and faces (F) of a polyhedron as V - E + F = 2?",Pythagorean theorem,Archimedes' principle,Heron's formula,Euler's formula,Euler's formula
157,"What theorem is used to determine the length of the diagonal of a rectangular solid with sides of lengths a, b, and c?",Heron's formula,Pythagorean theorem,Euler's formula,Law of Sines,Pythagorean theorem
158,What solid is formed by sweeping a rectangle along an axis perpendicular to its plane?,Cone,Cylinder,Sphere,Cuboid,Cylinder
159,Which solid has all points equidistant from a fixed center point in space?,Cylinder,Cone,Sphere,Cuboid,Sphere
160,What solid has a polygonal base and triangular sides that meet at a common vertex?,Pyramid,Prism,Cylinder,Sphere,Pyramid
161,What is a solid with two parallel and congruent bases connected by rectangular faces?,Pyramid,Cylinder,Cone,Prism,Prism
162,What is a three-dimensional figure with six congruent square faces?,Tetrahedron,Cube,Octahedron,Dodecahedron,Cube
163,"Which solid is a polyhedron with four faces, each being a triangle?",Tetrahedron,Octahedron,Icosahedron,Dodecahedron,Tetrahedron
164,What solid figure has the maximum volume for a given surface area?,Cube,Cylinder,Cone,Sphere,Sphere
165,Which solid has a circular base and a curved surface that tapers to a point called the apex?,Cylinder,Sphere,Cone,Cube,Cone
166,Which property is NOT applicable to real numbers?,Closure property,Associative property,Multiplication property of zero,Division property of zero,Division property of zero
167,What is the absolute value of -9?,-9,9,0,Undefined,9
168,"Which theorem states that for any two positive real numbers, there exists a positive integer multiple of the first number greater than the second number?",Triangle Inequality,Archimedean Property,Intermediate Value Theorem,Bolzano-Weierstrass Theorem,Archimedean Property
169,What is the smallest prime number?,0,1,2,3,2
170,Which of the following numbers is a prime number?,5,12,15,20,5
171,Which number is both a prime number and odd?,4,7,10,12,7
172,Which number is an odd number?,40,55,72,86,55
173,Which number is both a prime number and odd?,50,64,88,101,101
174,Which number is an even number?,35,49,28,17,28
175,Which number is both an even number and a prime number?,3,2,9,10,2
176,Which number is both an odd number and a prime number?,4,8,14,23,23
177,What is a rational number?,A number that cannot be written as a fraction,A number that can be expressed as a fraction of two integers,A number that is only a whole number,A number that is not a whole number,A number that can be expressed as a fraction of two integers
178,What is the definition of an integer?,Whole numbers without decimals,Whole numbers and their negative counterparts,Fractions and decimals,Positive numbers without decimals,Whole numbers and their negative counterparts
179,What does the set of real numbers consist of?,Both rational and irrational numbers,Only rational numbers,Only whole numbers,Only integers,Both rational and irrational numbers
180,What defines a real number?,Numbers that can be represented on the number line,Only whole numbers,Only irrational numbers,Only integers,Numbers that can be represented on the number line
181,What type of decimal representations do real numbers have?,Only terminating decimals.,"Both terminating and non-terminating, repeating decimals.","Only non-terminating, non-repeating decimals.",Only integers.,"Both terminating and non-terminating, repeating decimals."
182,Which of the following is an example of an irrational number?,0.75,1.5,Pi,0.333...,Pi
183,Which Roman numeral represents the number 10?,V,X,L,C,X
184,Which Roman numeral represents the number 500?,M,C,D,V,D
185,What is the Roman numeral for the number 3?,III,IV,VI,IX,III
186,What number does the Roman numeral 'MCMXCIX' represent?,1990,1999,1996,1994,1999
187,What is the Roman numeral for the number 18?,XIVII,XVIII,XIIX,XIIIV,XVIII
188,What is the Roman numeral for the number 1888?,MCDLXXV,MCCCLXXX,MDCCCLXXXVIII,MCMXXIII,MDCCCLXXXVIII
189,What is the Roman numeral for the number 77?,LXX,XLVII,CXXVII,LXXVII,LXXVII
190,What is the Roman numeral for the number 448?,CDXLVIII,DCCCLII,CDXVIII,CMXLVIII,CDXLVIII
191,"If 3x - 8 = 10, what is the value of x?",x = 6,x = 4,x = 6.5,x = 3,x = 6
192,Simplify the expression 3(x + 4) - 2(2x - 1).,-x + 14,x + 11,7x + 5,5x - 11,-x + 14
193,What is the solution to the equation 2x + 5 = 17?,x = 6,x = 12,x = 7,x = 8,x = 6
194,Which equation represents a line with a slope of 4 and a y-intercept of -3?,y = 4x - 3,y = -4x - 3,y = 3x - 4,y = -3x + 4,y = 4x - 3
195,Solve the inequality 2x + 9 < 25.,x < 8,x > 8,x < 7,x > 7,x < 8
196,What is the solution to the equation 4x - 5 = 7?,x = 2,x = 4,x = 3,x = 5,x = 3
197,Which equation represents a line with a slope of -2 and a y-intercept of 3?,y = 2x - 3,y = -2x + 3,y = 3x - 2,y = -3x + 2,y = -2x + 3
198,"If 2(3x - 4) = 10, what is the value of x?",x = 2,x = 6,x = 7,x = 3,x = 3
199,Solve the inequality 3x + 5 > 7.,x > 2/3,x < -6,x > -2,x < -2,x > 2/3
200,"If 5x + 3 = 13, what is the value of x?",x = 3,x = 4,x = 2,x = 5,x = 2
201,"In an arithmetic progression, the first term is 5 and the common difference is 3. What is the 7th term?",17,26,23,20,23
202,"If the 5th term of an arithmetic progression is 22 and the common difference is 3, what is the first term?",10,15,12,9,10
203,What is the sum of the first 10 terms of an arithmetic progression where the first term is 3 and the common difference is 4?,280,295,310,210,210
204,"In an arithmetic progression, if the 4th term is 15 and the 10th term is 39, what is the common difference?",3,4,5,7,4
205,"In an arithmetic progression, if the 3rd term is 14 and the 8th term is 44, what is the common difference?",5,6,8,9,6
206,"In a geometric progression, the first term is 4 and the common ratio is 2. What is the 6th term?",16,32,64,128,128
207,"If the 4th term of a geometric progression is 27 and the common ratio is 3, what is the 5th term?",36,54,81,108,81
208,"In a geometric progression, if the 2nd term is 3 and the 6th term is 768, what is the common ratio?",3,4,6,7,4
209,"If the first term of a geometric progression is 4 and the 5th term is 1/64, what is the common ratio?",1/4,1/8,1/16,1/2,1/4
210,"The sum of the first 8 terms of a geometric progression is 510. If the common ratio is 2, what is the first term?",2,4,6,8,2
211,A rectangle has a length of 8 units and a width of 9 units. What is the perimeter of the rectangle?,15 units,32 units,27 units,34 units,34 units
212,Find the area of a square with a side length of 7 cm.,49 sq. cm,56 sq. cm,63 sq. cm,28 sq. cm,49 sq. cm
213,A regular hexagon has a side length of 6 units. What is the perimeter of the hexagon?,24 units,30 units,36 units,42 units,36 units
214,Calculate the area of a triangle with a base of 12 cm and a height of 10 cm.,60 sq. cm,120 sq. cm,72 sq. cm,30 sq. cm,60 sq. cm
215,An octagon has a side length of 6 units. What is the perimeter of the octagon?,36 units,42 units,48 units,54 units,48 units
216,"In a triangle, the lengths of two sides are 15 cm and 27 cm. If the perimeter of the triangle is 78 cm, what is the length of the third side?",36 cm,24 cm,42 cm,30 cm,36 cm
217,"The base of a triangle is 8 cm, and its height is 6 cm. Find the area of the triangle.",32 sq. cm,16 sq. cm,24 sq. cm,12 sq. cm,24 sq. cm
218,"In a triangle, the measures of two angles are 68 degrees and 64 degrees. What is the measure of the third angle?",120 degrees,48 degrees,56 degrees,72 degrees,48 degrees
219,"The lengths of two sides of a triangle are 15 cm and 20 cm. If the perimeter of the triangle is 71 cm, what is the length of the third side?",32 cm,27 cm,40 cm,36 cm,36 cm
220,"In a right-angled triangle, the lengths of the two shorter sides are 7 cm and 24 cm. What is the length of the hypotenuse?",28 cm,21 cm,25 cm,26 cm,25 cm
221,What is 1/4 expressed as a percentage?,20%,10%,25%,50%,25%
222,"If you have 3 out of 4 marbles, what percentage of marbles do you have?",50%,75%,25%,90%,75%
223,"If 30 students in a class play football out of a total of 50 students, what percentage of the class plays football?",50%,70%,40%,60%,60%
224,Express 1/8 as a percentage.,12.5%,25%,10%,20%,12.5%
225,"If 4 out of 5 people prefer tea to coffee, what percentage of people prefer tea?",40%,80%,90%,60%,80%
226,"A triangle has sides of lengths 6 cm, 9 cm, and x cm. If x is the longest side, what is the maximum value of x so that the three sides can form a triangle?",< 15 cm,< 45 cm,< 54 cm,< 3 cm,< 15 cm
227,"In a triangle, the measures of two angles are 45 degrees and 60 degrees. What is the measure of the third angle?",90 degrees,75 degrees,30 degrees,105 degrees,75 degrees
228,What type of angle is formed when an angle measures 125 degrees?,Acute,Obtuse,Reflex,Right,Obtuse
229,"If an angle measures 220 degrees, what type of angle is it?",Acute,Obtuse,Reflex,Right,Reflex
230,An angle measuring 40 degrees is classified as which type of angle?,Acute,Obtuse,Reflex,Right,Acute
231,What is the classification of an angle measuring 260 degrees?,Acute,Obtuse,Right,Reflex,Reflex
232,"If an angle measures 135 degrees, what type of angle is it?",Acute,Obtuse,Reflex,Right,Obtuse
233,An angle measuring 55 degrees is classified as which type of angle?,Obtuse,Reflex,Acute,Right,Acute
234,"If an angle measures 300 degrees, what type of angle is it?",Acute,Obtuse,Right,Reflex,Reflex
235,What type of angle is formed when an angle measures 110 degrees?,Obtuse,Acute,Reflex,Right,Obtuse
236,"If an angle measures 90 degrees, what type of angle is it?",Acute,Obtuse,Reflex,Right,Right
237,An angle measuring 30 degrees is classified as which type of angle?,Acute,Obtuse,Reflex,Right,Acute
238,What type of angle is formed when an angle measures 135 degrees?,Acute,Obtuse,Reflex,Right,Obtuse
239,"If an angle measures 250 degrees, what type of angle is it?",Acute,Obtuse,Reflex,Right,Reflex
240,An angle measuring 120 degrees is classified as which type of angle?,Acute,Obtuse,Reflex,Right,Obtuse
241,Which of the following best defines an angle?,The distance between two points,The length of a straight line,The opening between two rays that meet at a common endpoint,The space enclosed by a closed shape,The opening between two rays that meet at a common endpoint
242,What is the common endpoint of the two rays in an angle called?,Edge,Vertex,Endpoint,Origin,Vertex
243,"In geometry, what is the unit used to measure angles?",Degree,Inch,Centimeter,Pound,Degree
244,Which type of angle measures exactly 90 degrees?,Acute angle,Obtuse angle,Straight angle,Right angle,Right angle
245,What is the measurement of a straight angle?,90 degrees,180 degrees,0 degrees,360 degrees,180 degrees
246,What is an angle that measures 360 degrees called?,Reflex angle,Straight angle,Right angle,Perigon,Perigon
247,What is an angle that measures exactly 0 degrees called?,Acute angle,Zero angle,Right angle,Perigon,Zero angle
